index	source_board	row	col	image_path
040	Gemini_Generated_Image_y1q8rwy1q8rwy1q8.png	2	1	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0040.jpg
041	Gemini_Generated_Image_y1q8rwy1q8rwy1q8.png	2	2	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0041.jpg
042	Gemini_Generated_Image_y1q8rwy1q8rwy1q8.png	2	3	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0042.jpg
043	Gemini_Generated_Image_y1q8rwy1q8rwy1q8.png	2	4	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0043.jpg
044	Gemini_Generated_Image_y1q8rwy1q8rwy1q8.png	3	1	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0044.jpg
045	Gemini_Generated_Image_y1q8rwy1q8rwy1q8.png	3	2	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0045.jpg
046	Gemini_Generated_Image_y1q8rwy1q8rwy1q8.png	3	3	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0046.jpg
047	Gemini_Generated_Image_sxvd9xsxvd9xsxvd.png	1	1	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0047.jpg
048	Gemini_Generated_Image_sxvd9xsxvd9xsxvd.png	1	2	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0048.jpg
049	Gemini_Generated_Image_sxvd9xsxvd9xsxvd.png	1	3	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0049.jpg
050	Gemini_Generated_Image_sxvd9xsxvd9xsxvd.png	2	1	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0050.jpg
051	Gemini_Generated_Image_sxvd9xsxvd9xsxvd.png	2	2	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0051.jpg
052	Gemini_Generated_Image_sxvd9xsxvd9xsxvd.png	2	3	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0052.jpg
053	Gemini_Generated_Image_sxvd9xsxvd9xsxvd.png	2	4	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0053.jpg
054	Gemini_Generated_Image_sxvd9xsxvd9xsxvd.png	3	1	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0054.jpg
055	Gemini_Generated_Image_sxvd9xsxvd9xsxvd.png	3	2	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0055.jpg
056	Gemini_Generated_Image_sxvd9xsxvd9xsxvd.png	3	3	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0056.jpg
057	Gemini_Generated_Image_sxvd9xsxvd9xsxvd.png	3	4	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0057.jpg
058	Gemini_Generated_Image_mgac9tmgac9tmgac.png	1	1	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0058.jpg
059	Gemini_Generated_Image_mgac9tmgac9tmgac.png	1	2	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0059.jpg
